Method	Accuracy
----------------------------------------------------------------------
Random Stratified	0.8972 ± 0.0027
Run 1: Equal K-Means	0.9091
Run 2: Error-Driven	0.9141
Run 3: Iterative Error	0.9158
Run 5: Selective Hybrid	0.9143

======================================================================
Per-Class Accuracies
======================================================================
Class	Random Stratified	Run 1: Equal K-Means	Run 2: Error-Driven	Run 3: Iterative Error	Run 5: Selective Hybrid
Class 0	0.9706 ± 0.0048	0.9755	0.9510	0.9633	0.9531
Class 1	0.9912 ± 0.0010	0.9974	0.9753	0.9894	0.9780
Class 2	0.8559 ± 0.0122	0.8663	0.8886	0.8886	0.9041
Class 3	0.8926 ± 0.0103	0.8911	0.8990	0.8851	0.8822
Class 4	0.8835 ± 0.0080	0.9012	0.9073	0.9033	0.9216
Class 5	0.8695 ± 0.0104	0.8868	0.9070	0.8868	0.8991
Class 6	0.9390 ± 0.0050	0.9541	0.9290	0.9499	0.9301
Class 7	0.8706 ± 0.0095	0.8696	0.8911	0.8862	0.8969
Class 8	0.8233 ± 0.0121	0.8573	0.8922	0.9004	0.8881
Class 9	0.8633 ± 0.0071	0.8821	0.8940	0.8959	0.8821
