Method	Accuracy
----------------------------------------------------------------------
Random Stratified	0.6555 ± 0.0202
Run 1: Equal K-Means	0.7962
Run 2: Error-Driven	0.7962
Run 3: Iterative Error	0.7918
Run 5: Selective Hybrid	0.7915

======================================================================
Per-Class Accuracies
======================================================================
Class	Random Stratified	Run 1: Equal K-Means	Run 2: Error-Driven	Run 3: Iterative Error	Run 5: Selective Hybrid
Class 0	0.8060 ± 0.0576	0.9367	0.9367	0.9571	0.9367
Class 1	0.9797 ± 0.0103	0.9921	0.9921	0.9947	0.9639
Class 2	0.4624 ± 0.0949	0.6734	0.6734	0.6734	0.6773
Class 3	0.6134 ± 0.0954	0.7515	0.7515	0.7396	0.7505
Class 4	0.5875 ± 0.0730	0.8014	0.8014	0.7821	0.7821
Class 5	0.5642 ± 0.0708	0.7567	0.7567	0.6850	0.7522
Class 6	0.7089 ± 0.0601	0.8079	0.8079	0.8319	0.8058
Class 7	0.5524 ± 0.0884	0.7539	0.7539	0.7228	0.7403
Class 8	0.6133 ± 0.0556	0.7290	0.7290	0.7546	0.7320
Class 9	0.6260 ± 0.1357	0.7364	0.7364	0.7483	0.7542
