Method	Accuracy
----------------------------------------------------------------------
Random Stratified	0.7335 ± 0.0120
Run 1: Equal K-Means	0.8206
Run 2: Error-Driven	0.8206
Run 3: Iterative Error	0.8191
Run 5: Selective Hybrid	0.8177

======================================================================
Per-Class Accuracies
======================================================================
Class	Random Stratified	Run 1: Equal K-Means	Run 2: Error-Driven	Run 3: Iterative Error	Run 5: Selective Hybrid
Class 0	0.8794 ± 0.0431	0.9633	0.9633	0.9602	0.9622
Class 1	0.9894 ± 0.0036	0.9912	0.9912	0.9938	0.9718
Class 2	0.5776 ± 0.0581	0.7267	0.7267	0.7209	0.7345
Class 3	0.7168 ± 0.0496	0.8317	0.8317	0.7802	0.8139
Class 4	0.7059 ± 0.0482	0.8167	0.8167	0.8676	0.8167
Class 5	0.6524 ± 0.0384	0.7601	0.7601	0.7836	0.7791
Class 6	0.7766 ± 0.0430	0.8372	0.8372	0.7954	0.8163
Class 7	0.6690 ± 0.0477	0.7091	0.7091	0.7432	0.7218
Class 8	0.6595 ± 0.0315	0.7762	0.7762	0.7752	0.7710
Class 9	0.6748 ± 0.0618	0.7730	0.7730	0.7512	0.7721
