Method	Accuracy
----------------------------------------------------------------------
Random Stratified	0.7980 ± 0.0062
Run 1: Equal K-Means	0.8553
Run 2: Error-Driven	0.8555
Run 3: Iterative Error	0.8619
Run 5: Selective Hybrid	0.8591

======================================================================
Per-Class Accuracies
======================================================================
Class	Random Stratified	Run 1: Equal K-Means	Run 2: Error-Driven	Run 3: Iterative Error	Run 5: Selective Hybrid
Class 0	0.9345 ± 0.0097	0.9622	0.9449	0.9622	0.9602
Class 1	0.9908 ± 0.0024	0.9938	0.9912	0.9921	0.9727
Class 2	0.6767 ± 0.0268	0.7665	0.8101	0.8169	0.8052
Class 3	0.7813 ± 0.0325	0.8287	0.8347	0.8416	0.8248
Class 4	0.7581 ± 0.0427	0.8819	0.8503	0.8574	0.8697
Class 5	0.7337 ± 0.0212	0.8105	0.8094	0.7960	0.8128
Class 6	0.8580 ± 0.0133	0.8758	0.8873	0.8789	0.8820
Class 7	0.7554 ± 0.0282	0.7792	0.7899	0.8210	0.8084
Class 8	0.7166 ± 0.0304	0.8162	0.8152	0.8337	0.8224
Class 9	0.7495 ± 0.0261	0.8226	0.8048	0.7998	0.8186
