Method	Accuracy
----------------------------------------------------------------------
Random Stratified	0.8388 ± 0.0035
Run 1: Equal K-Means	0.8749
Run 2: Error-Driven	0.8849
Run 3: Iterative Error	0.8855
Run 5: Selective Hybrid	0.8833

======================================================================
Per-Class Accuracies
======================================================================
Class	Random Stratified	Run 1: Equal K-Means	Run 2: Error-Driven	Run 3: Iterative Error	Run 5: Selective Hybrid
Class 0	0.9606 ± 0.0014	0.9520	0.9664	0.9520	0.9551
Class 1	0.9900 ± 0.0006	0.9877	0.9942	0.9877	0.9630
Class 2	0.8222 ± 0.0014	0.8391	0.8547	0.8391	0.8566
Class 3	0.8493 ± 0.0015	0.8733	0.8661	0.8733	0.8525
Class 4	0.8571 ± 0.0014	0.8880	0.8976	0.8880	0.8982
Class 5	0.8186 ± 0.0014	0.8453	0.8671	0.8453	0.8520
Class 6	0.8921 ± 0.0015	0.9102	0.9115	0.9102	0.8987
Class 7	0.8345 ± 0.0014	0.8463	0.8632	0.8463	0.8356
Class 8	0.8501 ± 0.0014	0.8480	0.8634	0.8480	0.8573
Class 9	0.8492 ± 0.0014	0.8513	0.8575	0.8513	0.8543
