Method	Accuracy
----------------------------------------------------------------------
Random Stratified	0.9146 ± 0.0026
Run 1: Equal K-Means	0.9187
Run 2: Error-Driven	0.9242
Run 3: Iterative Error	0.9247
Run 5: Selective Hybrid	0.9226

======================================================================
Per-Class Accuracies
======================================================================
Class	Random Stratified	Run 1: Equal K-Means	Run 2: Error-Driven	Run 3: Iterative Error	Run 5: Selective Hybrid
Class 0	0.9750 ± 0.0043	0.9806	0.9500	0.9612	0.9643
Class 1	0.9911 ± 0.0019	0.9965	0.9806	0.9930	0.9868
Class 2	0.8884 ± 0.0090	0.8721	0.9060	0.8876	0.8973
Class 3	0.9120 ± 0.0083	0.9059	0.9089	0.9040	0.8960
Class 4	0.9047 ± 0.0107	0.9114	0.9216	0.9206	0.9257
Class 5	0.8868 ± 0.0106	0.8991	0.9002	0.9036	0.9013
Class 6	0.9506 ± 0.0051	0.9551	0.9551	0.9676	0.9541
Class 7	0.8923 ± 0.0049	0.8930	0.8930	0.9066	0.9115
Class 8	0.8523 ± 0.0123	0.8706	0.9055	0.8973	0.8932
Class 9	0.8824 ± 0.0070	0.8940	0.9138	0.8979	0.8880
